id      ,catName          ,catAdoptionDate        ,catRating
1,Clem,12/04/2010,33
1,Snickers,03/08/2014,18
1,Spanky,05/08/2007,83
2,Sweet Pea,09/26/2007,4
2,Cornmeal,11/15/2014,14
3,Whirligig,08/13/2015,28
3,Cheetoh,07/09/2007,70
3,Paws de Leon,05/20/2008,42
4,Bob Dole,05/16/2013,24
4,Yoko,06/27/2016,56
4,Leon,12/06/2009,86
5,Cow,06/10/2013,48
6,Milkshake,01/25/2008,35
6,Parsnip,12/20/2013,52
6,Parsnip,07/30/2016,33
7,Tipper,12/13/2008,2
7,Bob Dole,08/11/2007,82
8,Wheezer,11/27/2016,97
8,Johnny Cash,11/06/2017,52
8,Sweet Pea,05/01/2009,43
9,Stardew,03/13/2017,61
9,Kuzma,09/01/2011,34
9,Beau,04/25/2012,14
10,Princess Peach,08/10/2016,60
10,Mr. Grumpystripes,01/25/2009,80
11,Katz,05/22/2013,43
11,Inigo Montoya,05/12/2009,15
11,Princess Peach,03/14/2009,76
12,Zoe,08/23/2008,82
12,Orrick,09/15/2008,36
13,Porkchop,12/24/2008,98
13,Orrick,03/09/2011,61
14,Waldo,12/25/2014,61
14,Milo,11/02/2008,60
15,Lucielle,11/07/2016,47
16,Bob Dole,06/12/2011,76
16,Formica,10/22/2014,70
16,Wheezer,05/21/2017,21
17,Noodles,09/03/2007,1
17,Whirligig,03/13/2010,20
17,Boris,03/10/2017,85
18,Crystal Meth,04/23/2012,33
18,Doolittle,11/25/2017,74
18,Wheezer,10/03/2009,19
19,Fudge,09/26/2013,74
20,Dumpsterfire,09/24/2016,78
21,Pepa,02/04/2016,53
21,Honeydew,03/27/2008,33
22,Maynard,03/27/2013,2
22,Puck,03/26/2011,66
23,Kinsey,12/23/2014,67
23,Tigger,12/21/2012,41
23,Dana,07/14/2016,21
24,Katz,04/07/2011,92
24,Milkshake,09/27/2014,2
25,Mitt,06/07/2012,6
26,The Butcher,04/02/2011,52
26,Luna,05/05/2007,48
27,Misha,03/26/2016,8
27,Nanaimo,01/17/2008,61
28,Mannix,10/13/2016,5
28,Darth,02/11/2014,61
28,Butzhold,05/28/2007,72
29,George Clooney,11/29/2014,14
30,Frolicks,10/24/2007,28
31,Goldy,03/02/2013,6
31,Kemosabe,10/11/2012,42
31,Ramses,10/29/2007,84
32,Bristol,01/05/2012,71
33,Magoon,07/08/2007,75
33,Bigfoot,04/17/2017,46
34,Maynard,08/18/2009,66
35,Malone,09/04/2016,11
36,Fluffypants,11/27/2014,61
37,Pheobe,02/13/2016,30
38,Munster,12/20/2014,71
38,Miyamoto,09/16/2010,13
38,Dumpsterfire,01/10/2014,12
39,Butzhold,08/01/2013,95
39,Malloy,08/29/2016,81
40,Eleven,06/03/2014,56
40,Lynx,10/27/2008,54
40,Muschi,06/24/2017,25
41,Boris,01/05/2013,88
41,Janet,01/16/2010,7
41,Fezzik,04/20/2008,49
42,Daisy,04/03/2011,30
42,Kalika,03/11/2008,52
42,Copernicus,08/10/2009,24
43,Cheetoh,02/23/2012,77
44,Chewbacca,01/26/2009,85
44,Cornmeal,12/02/2015,75
44,Stardew,11/29/2017,81
45,Tiger,05/21/2013,83
45,Eggers,08/20/2013,71
45,Snickers,04/18/2012,5
46,Meredith Baxter Birney,09/23/2012,50
47,Greystoke,04/11/2011,59
47,Meowzer,02/04/2009,3
47,Franzen,12/01/2011,86
48,Beau,09/19/2007,58
48,Capone,10/27/2013,49
49,Blizzard,04/15/2009,47
49,Bigfoot,06/10/2016,5
50,Snickers,07/24/2014,20
50,Chewbacca,05/11/2014,92
50,Honeypot,01/28/2011,64
51,Patches,05/26/2007,56
51,Fezzik,10/10/2016,51
52,Chandler,01/02/2012,81
52,Zak,01/20/2017,59
