id,tree,vegetable,element,animal,color,instrument,fruit
1,Ash,mung bean,Thorium,gnu,Banana Mania,Plemyrameter,boysenberry
2,Elm,chickpea,Carbon,porpoise,Piggy Pink,Pantograph,honeydew
3,Oak,endive,Tin,koala,Indigo,Pedometer,apple
4,Larch,azuki bean,Sodium,elk,Mango Tango,Hyetometrograph,grapefruit
5,Elderberry,eggplant,Helium,whale,Green Yellow,Acetimeter,kiwi fruit
6,Juniper,rhubarb,Rhenium,moose,Fuchsia,Calorimeter,blood orange
7,Linden,carrot,Iodine,panther,Yellow Green,Spectrohelioscope,gooseberry
8,Hawthorn,cucumber,Tungsten,ape,Sea Green,Elatrometer,pamelo
9,Tupelo,chamomile,Ununpentium,opossum,Apricot,Nitrometer,grapefruit
10,Magnolia,tat soi,Osmium,pig,Wild Blue Yonder,Phonautograph,raspberry
11,Elderberry,thyme,Carbon,wolf,Red,Epidiascope,ugli fruit
12,Cherry,banana squash,Ununpentium,weasel,Yellow Green,Telespectroscope,quince
13,Cherry,gem squash,Lutetium,grizzly bear,Magenta,Scotograph,nut
14,Fir,cilantro,Hassium,hyena,Red,Telestereoscope,satsuma
15,Willow,chard,Magnesium,buffalo,Olive Green,Coulometer,salal berry
16,Juniper,mustard green,Rhodium,antelope,Violet Red,Epidiascope,purple mangosteen
17,Magnolia,artichoke,Berkelium,cougar,Razzle Dazzle Rose,Opisometer,guava
18,Hickory,basil,Phosphorus,walrus,Denim,Spirograph,grapefruit
19,Oak,collard green,Tungsten,whale,Mauvelous,Viscometer,grape
20,Sassafras,zucchini,Holmium,silver fox,Laser Lemon,Ellipsograph,tangerine
21,Willow,brussels sprout,Ununtrium,mole,Jungle Green,Pharmacometer,pomelo
22,Fir,calabrese,Phosphorus,lamb,Desert Sand,Tellurometer,pomelo
23,Juniper,radish,Hassium,coyote,Banana Mania,Mekometer,mango
24,Spruce,squash,Erbium,mynah bird,Navy Blue,Quantimeter,grapefruit
25,Cherry,runner bean,Tin,antelope,Macaroni and Cheese,Seismometer,jujube
26,Gum,hubbard squash,Silver,rat,Wisteria,Speedometer,huckleberry
27,Cypress,new zealand spinach,Phosphorus,parakeet,Vivid Tangerine,Sonograph,elderberry
28,Dogwood,zucchini,Promethium,skunk,Caribbean Green,Pantograph,tamarillo
29,Linden,pumpkin,Thorium,silver fox,Laser Lemon,Tasimeter,peach
30,Hickory,tubers,Plutonium,yak,Outer Space,Refractometer,lime
31,Tulip Tree,green pepper,Lanthanum,newt,Green Yellow,Wavemeter,gooseberry
32,Fir,zucchini,Americium,goat,Jazzberry Jam,Tachometer,persimmon
33,Larch,parsley,Darmstadtium,crow,Red Violet,Passimeter,boysenberry
34,Poplar,ginger,Iodine,porpoise,Screamin' Green,Velometer,chili pepper
35,Crabapple,fiddlehead,Cobalt,ocelot,Tan,Micrometer,apricot
36,Larch,banana squash,Sodium,gila monster,Laser Lemon,Coulometer,pomelo
37,Hickory,spaghetti squash,Thorium,wombat,Hot Magenta,Psychograph,satsuma
38,Peach,shallot,Zinc,lamb,Tropical Rain Forest,Polariscope,lemon
39,Alder,hubbard squash,Titanium,otter,Turquoise Blue,Pitchometer,lychee
40,Peach,asparagus,Gold,warthog,Goldenrod,Endoscope,rambutan
41,Beech,lemon grass,Terbium,frog,Fern,Nitrometer,cucumber
42,Cherry,artichoke,Praseodymium,elephant,Scarlet,Auxanometer,cloudberry
43,Sassafras,delicata,Nickel,wolverine,Antique Brass,Spinthariscope,eggplant
44,Spruce,carrot,Europium,buffalo,Timberwolf,Densitometer,star fruit
45,Dogwood,herbs and spice,Calcium,walrus,Yellow,Urethroscope,damson
46,Tulip Tree,anise,Sodium,mandrill,Timberwolf,Plemyrameter,cucumber
47,Locust,cucumber,Bismuth,giraffe,Inchworm,Rotameter,boysenberry
48,Spruce,legume,Germanium,turtle,Aquamarine,Anemometer,gooseberry
49,Juniper,celery,Molybdenum,skunk,Aquamarine,Actinometer,lime
50,Elm,delicata,Einsteinium,newt,Lavender,Siccimeter,currant
51,Linden,celeriac,Zinc,rat,Cerise,Diagometer,grape
52,Palm,jalapeno,Lead,whale,Tumbleweed,Microcalorimeter,avocado
